id,source_file_id,airport_icao,obstacle_id,name,bearing_deg,mag_bearing_deg,distance_m,latitude,longitude,elevation_m,height_m,unit_distance_original,unit_height_original,confidence_score,is_user_modified,edited_at,source_page,raw_text
1,1,ZLLL,001,房屋,,3.0,4103.0,36.55041666666666,103.62122222222222,1988.7,,m,m,0.95,0,,1,"房屋
001 | 建筑 | N363301.5
E1033716.4
003/4103 | 1988.7 |  | RWY36L起飞航径区重要障碍物"
2,1,ZLLL,002,通讯塔,,4.0,9297.0,36.59719444444445,103.62283333333333,2078.5,,m,m,0.95,0,,1,"通讯塔
002 | 天线 | N363549.9
E1033722.2
004/9297 | 2078.5 |  | RWY36L/R起飞航径区重要障碍
物"
3,1,ZLLL,003,电力杆,,5.0,5164.0,36.55994444444444,103.62325,2008.2,,m,m,0.95,0,,1,"电力杆
003 | 杆 | N363335.8
E1033723.7
005/5164 | 2008.2 |  | RWY36L起飞航径区重要障碍物"
4,1,ZLLL,004,电力杆,,6.0,4391.0,36.552972222222216,103.62325,1994.1,,m,m,0.95,0,,1,"电力杆
004 | 杆 | N363310.7
E1033723.7
006/4391 | 1994.1 |  | RWY36R起飞航径区重要障碍物"
5,1,ZLLL,005,电力杆,,6.0,4434.0,36.55333333333333,103.62355555555555,1994.9,,m,m,0.95,0,,1,"电力杆
005 | 杆 | N363312.0
E1033724.8
006/4434 | 1994.9 |  | RWY36R起飞航径区重要障碍物"
6,1,ZLLL,006,高压杆,,6.0,5147.0,36.559749999999994,103.62397222222222,2008.2,,m,m,0.95,0,,1,"高压杆
006 | 高压输电
线 | N363335.1
E1033726.3
006/5147 | 2008.2 |  | RWY36R起飞航径区重要障碍物"
7,1,ZLLL,007,电杆,,7.0,4059.0,36.54994444444444,103.62377777777778,1987.4,,m,m,0.95,0,,1,"电杆
007 | 杆 | N363259.8
E1033725.6
007/4059 | 1987.4 |  | RWY36R起飞航径区重要障碍物"
8,1,ZLLL,008,电力杆,,7.0,4096.0,36.55027777777777,103.62405555555554,1989.6,,m,m,0.95,0,,1,"电力杆
008 | 杆 | N363301.0
E1033726.6
007/4096 | 1989.6 |  | RWY36L离场控制障碍物；
RWY36R起飞航径区重要障碍物"
9,1,ZLLL,009,电力杆,,8.0,5086.0,36.55911111111111,103.6256111111111,2003.6,,m,m,0.95,0,,1,"电力杆
009 | 杆 | N363332.8
E1033732.2
008/5086 | 2003.6 |  | RWY36R起飞航径区重要障碍物"
10,1,ZLLL,010,尖山庙,,9.0,6112.0,36.568250000000006,103.62774999999999,2023.7,,m,m,0.95,0,,1,"尖山庙
010 | 建筑 | N363405.7
E1033739.9
009/6112 | 2023.7 |  | RWY36R起飞航径区重要障碍物"
11,1,ZLLL,011,固坡（地形）,,10.0,2736.0,36.538,103.62444444444444,1954.6,,m,m,0.95,0,,2,"固坡（地形）
011 | 自然高程
点 |  | N363216.8
E1033728.0
010/2736 |  | 1954.6 |  | RWY36R起飞航径区重要障碍物"
12,1,ZLLL,012,假山,,10.0,5753.0,36.56486111111111,103.62919444444444,2012.9,,m,m,0.95,0,,2,"假山
012 | 建筑 | N363353.5
E1033745.1
010/5753 |  |  | 2012.9 |  | RWY18L LNAV/VNAV最后进近
控制障碍物"
13,1,ZLLL,013,通讯塔,,11.0,4249.0,36.55133333333333,103.62774999999999,2000.4,,m,m,0.95,0,,2,"通讯塔
013 | 天线 |  | N363304.8
E1033739.9
011/4249 |  | 2000.4 |  | RWY36R离场控制障碍物"
14,1,ZLLL,014,东升商混站,,17.0,8331.0,36.586333333333336,103.64305555555556,2040.5,,m,m,0.95,0,,2,"东升商混站
014 | 建筑 | N363510.8
E1033835.0
017/8331 |  |  | 2040.5 | 灯光：红色 | RWY19 LNAV、GP INOP最后进
近控制障碍物"
15,1,ZLLL,015,通讯塔,,17.0,12208.0,36.62036111111111,103.6528888888889,2100.7,,m,m,0.95,0,,2,"通讯塔
015 | 天线 |  | N363713.3
E1033910.4
017/12208 |  | 2100.7 |  | RWY01 PBN离场控制障碍物"
16,1,ZLLL,016,搅拌站,,18.0,7337.0,36.57736111111112,103.64186111111111,2028.0,,m,m,0.95,0,,2,"搅拌站
016 | 建筑 | N363438.5
E1033830.7
018/7337 |  |  | 2028.0 |  | RWY01起飞航径区重要障碍物"
